Cleaned Text,Stemmed Tokens,Tweet ID
RT @rivalskeenan: Freshman point guard Jordan McCabe out here getting up shots for #WVU before practice. ,"['rt', '@', 'rivalskeenan', ':', 'freshman', 'point', 'guard', 'jordan', 'mccabe', 'get', 'shot', '#', 'wvu', 'practic', '.']",1067613867323330566
"RT : So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank…","['rt', ':', 'so', '...', 'ou', 'go', 'playoff', 'pas', 'texa', 'rank', ',', 'send', '#', 'wvu', 'sugar', 'bowl', '?', '2nd', 'highest', 'rank…']",1067611798688419841
"Again . Confirmation. 
#WVU ","['again', '.', 'confirm', '.', '#', 'wvu']",1067611409096290310
"RT @snackaholicsUS: Gotta love a WVU win! 

Go Eers 

Every order tonight will receive one FREE M&amp;M Ice Cream Sandwich! 

","['rt', '@', 'snackaholicsus', ':', 'got', 'ta', 'love', 'wvu', 'win', '!', 'go', 'eer', 'everi', 'order', 'tonight', 'will', 'receiv', 'one', 'free', 'm', '&', 'amp', ';', 'm', 'ice', 'cream', 'sandwich', '!']",1067611400850296833
Hey  you wanna go to the Alamo? #WVU #RoadDawgs ,"['hey', 'wan', 'na', 'go', 'alamo', '?', '#', 'wvu', '#', 'roaddawg']",1067610792357449728
"Penn state has 0 ranked wins all season, lost vs all top25 teams they’ve played (OSU, UM) but somehow is 4 spots ab… ","['penn', 'state', '0', 'rank', 'win', 'season', ',', 'lost', 'v', 'top25', 'team', '’', 've', 'play', '(', 'osu', ',', 'um', ')', 'somehow', '4', 'spot', 'ab…']",1067610742730444800
"RT : On #GivingTuesday around the globe,  reflects on the passion behind &amp; impact of the Norma Mae Huggins Cancer…","['rt', ':', 'on', '#', 'givingtuesday', 'around', 'globe', ',', 'reflect', 'passion', 'behind', '&', 'amp', ';', 'impact', 'norma', 'mae', 'huggin', 'cancer…']",1067609530664656896
"RT : Rumors are out there, but don’t believe them. Holgorsen will continue to build #WVU football ","['rt', ':', 'rumor', ',', 'don', '’', 't', 'believ', '.', 'holgorsen', 'will', 'continu', 'build', '#', 'wvu', 'footbal']",1067609186568151040
"I’m addictive to this , 
How I Built This is an American podcast about ""innovators, entrepreneurs, idealists, and t… ","['i', '’', 'm', 'addict', ',', 'how', 'i', 'built', 'this', 'american', 'podcast', '``', 'innov', ',', 'entrepreneur', ',', 'idealist', ',', 't…']",1067608860620398593
RT : Help us on #GivingTuesday with our fight against cancer. Please consider supporting  and the Norma Mae Huggins Ca…,"['rt', ':', 'help', 'u', '#', 'givingtuesday', 'fight', 'cancer', '.', 'pleas', 'consid', 'support', 'norma', 'mae', 'huggin', 'ca…']",1067608399368650752
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…","['rt', ':', 'dana', 'holgorsen', '’', 's', '1st', '4', 'year', '#', 'wvu', '28-23', '(', '.549', ')', 'holgorsen', '’', 's', 'last', '4', 'year', '#', 'wvu', '33-17', '(', '.660', ')', 'be', 'patient', ',', 'program', 'is…']",1067608089757696000
RT : Help us on #GivingTuesday with our fight against cancer. Please consider supporting  and the Norma Mae Huggins Ca…,"['rt', ':', 'help', 'u', '#', 'givingtuesday', 'fight', 'cancer', '.', 'pleas', 'consid', 'support', 'norma', 'mae', 'huggin', 'ca…']",1067607884480040961
Over the first three games #WVU Senior Esa Ahmad had 15 turnovers. In the two games since that number has dipped to… ,"['over', 'first', 'three', 'game', '#', 'wvu', 'senior', 'esa', 'ahmad', '15', 'turnov', '.', 'in', 'two', 'game', 'sinc', 'number', 'dip', 'to…']",1067607643274076160
RT : Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't…,"['rt', ':', 'lot', 'confus', 're', 'big', '12', ""'s"", 'slot', 'sugar', 'bowl', '.', 'but', '#', 'wvu', 'offici', 'tell', 'next', 'week', ""'s"", 'cfp', 'rank', ""won't…""]",1067606957916389377
RT @rivalskeenan: Freshman point guard Jordan McCabe out here getting up shots for #WVU before practice. ,"['rt', '@', 'rivalskeenan', ':', 'freshman', 'point', 'guard', 'jordan', 'mccabe', 'get', 'shot', '#', 'wvu', 'practic', '.']",1067606741809065984
"Let me see if I have this right?  lost to a team ranked several spots higher, in a very close game, and… ","['let', 'see', 'i', 'right', '?', 'lost', 'team', 'rank', 'sever', 'spot', 'higher', ',', 'close', 'game', ',', 'and…']",1067606664180830208
#WVU just became a trend setter! ,"['#', 'wvu', 'just', 'becam', 'trend', 'setter', '!']",1067606168124698625
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…","['rt', ':', 'dana', 'holgorsen', '’', 's', '1st', '4', 'year', '#', 'wvu', '28-23', '(', '.549', ')', 'holgorsen', '’', 's', 'last', '4', 'year', '#', 'wvu', '33-17', '(', '.660', ')', 'be', 'patient', ',', 'program', 'is…']",1067606007248011269
RT : Please consider making a donation to our chapters scholarship fund for #GivingTuresday - Our scholarship helps to send…,"['rt', ':', 'pleas', 'consid', 'make', 'donat', 'chapter', 'scholarship', 'fund', '#', 'givingturesday', '-', 'our', 'scholarship', 'help', 'send…']",1067605913597591552
"Lastly, if there is no Big 12 team in the #CFBPlayoff, then the highest ranked Big 12 team will take Sugar Bowl spo… ","['last', ',', 'big', '12', 'team', '#', 'cfbplayoff', ',', 'highest', 'rank', 'big', '12', 'team', 'will', 'take', 'sugar', 'bowl', 'spo…']",1067605885114040320
"Hey #WVU, you can’t deny someone who wants to be a Mountaineer, right? ","['hey', '#', 'wvu', ',', 'can', '’', 't', 'deni', 'someon', 'want', 'mountain', ',', 'right', '?']",1067605861395283971
"There is speculation about #WVU heading to the Sugar Bowl, but that can’t happen because the second-place finisher would get Sugar Bowl bid.","['there', 'specul', '#', 'wvu', 'head', 'sugar', 'bowl', ',', 'can', '’', 't', 'happen', 'second-plac', 'finish', 'get', 'sugar', 'bowl', 'bid', '.']",1067604677775233025
"@lyncofta My first take  is Thornton will be one of the best D players to come to #WVU . 
My instincts are usually pretty good .","['@', 'lyncofta', 'my', 'first', 'take', 'thornton', 'will', 'one', 'best', 'd', 'player', 'come', '#', 'wvu', '.', 'my', 'instinct', 'usual', 'pretti', 'good', '.']",1067603961757208576
"RT : So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank…","['rt', ':', 'so', '...', 'ou', 'go', 'playoff', 'pas', 'texa', 'rank', ',', 'send', '#', 'wvu', 'sugar', 'bowl', '?', '2nd', 'highest', 'rank…']",1067602946068758528
"As it stands right now, the Valero Alamo Bowl would put the Mountaineers against Washington State because both team… ","['as', 'stand', 'right', 'now', ',', 'valero', 'alamo', 'bowl', 'put', 'mountain', 'washington', 'state', 'team…']",1067602579880902656
"RT : Jalen Bridges, the #3 recruit of the 2020 class in WV, told me earlier this evening he recently went on a visit to Cincinn…","['rt', ':', 'jalen', 'bridg', ',', '#', '3', 'recruit', '2020', 'class', 'wv', ',', 'told', 'earlier', 'even', 'recent', 'went', 'visit', 'cincinn…']",1067602465154105344
RT @rivalskeenan: Freshman point guard Jordan McCabe out here getting up shots for #WVU before practice. ,"['rt', '@', 'rivalskeenan', ':', 'freshman', 'point', 'guard', 'jordan', 'mccabe', 'get', 'shot', '#', 'wvu', 'practic', '.']",1067602228830191616
"What’s a truffle? 
#WVU 
I’m just a guy from 
#WestVirginia","['what', '’', 's', 'truffl', '?', '#', 'wvu', 'i', '’', 'm', 'just', 'guy', '#', 'westvirginia']",1067601576418832384
So everyone needs to avoid stewartstown Hill. I slid into a guard rail 3 times in my SUV going 5 mph  #morgantown #WVU,"['so', 'everyon', 'need', 'avoid', 'stewartstown', 'hill', '.', 'i', 'slid', 'guard', 'rail', '3', 'time', 'suv', 'go', '5', 'mph', '#', 'morgantown', '#', 'wvu']",1067601425704910848
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…","['rt', ':', 'dana', 'holgorsen', '’', 's', '1st', '4', 'year', '#', 'wvu', '28-23', '(', '.549', ')', 'holgorsen', '’', 's', 'last', '4', 'year', '#', 'wvu', '33-17', '(', '.660', ')', 'be', 'patient', ',', 'program', 'is…']",1067600726678020098
