word,number of occurrences
"('rt',)",624
"('@',)",331
"('rivalskeenan',)",25
"(':',)",689
"('freshman',)",13
"('point',)",18
"('guard',)",14
"('jordan',)",15
"('mccabe',)",15
"('get',)",71
"('shot',)",13
"('#',)",1272
"('wvu',)",763
"('practic',)",19
"('.',)",590
"('so',)",22
"('...',)",98
"('ou',)",36
"('go',)",66
"('playoff',)",18
"('pas',)",13
"('texa',)",45
"('rank',)",57
"(',',)",379
"('send',)",12
"('sugar',)",27
"('bowl',)",63
"('?',)",154
"('2nd',)",13
"('highest',)",14
"('rank…',)",11
"('again',)",1
"('confirm',)",1
"('snackaholicsus',)",1
"('got',)",6
"('ta',)",1
"('love',)",7
"('win',)",43
"('!',)",130
"('eer',)",1
"('everi',)",9
"('order',)",3
"('tonight',)",5
"('will',)",217
"('receiv',)",6
"('one',)",40
"('free',)",16
"('m',)",20
"('&',)",39
"('amp',)",32
"(';',)",42
"('ice',)",1
"('cream',)",1
"('sandwich',)",1
"('hey',)",2
"('wan',)",1
"('na',)",1
"('alamo',)",4
"('roaddawg',)",1
"('penn',)",1
"('state',)",12
"('0',)",1
"('season',)",48
"('lost',)",3
"('v',)",7
"('top25',)",1
"('team',)",16
"('’',)",278
"('ve',)",22
"('play',)",125
"('(',)",243
"('osu',)",3
"('um',)",1
"(')',)",234
"('somehow',)",5
"('4',)",135
"('spot',)",5
"('ab…',)",1
"('on',)",12
"('givingtuesday',)",13
"('around',)",15
"('globe',)",10
"('reflect',)",10
"('passion',)",10
"('behind',)",10
"('impact',)",10
"('norma',)",13
"('mae',)",13
"('huggin',)",24
"('cancer…',)",9
"('rumor',)",14
"('don',)",26
"('t',)",36
"('believ',)",24
"('holgorsen',)",181
"('continu',)",13
"('build',)",20
"('footbal',)",45
"('i',)",144
"('addict',)",1
"('how',)",19
"('built',)",1
"('this',)",8
"('american',)",6
"('podcast',)",1
"('``',)",17
"('innov',)",1
"('entrepreneur',)",1
"('idealist',)",1
"('t…',)",17
"('help',)",10
"('u',)",20
"('fight',)",5
"('cancer',)",3
"('pleas',)",9
"('consid',)",10
