Text,sentiment polarity,sentiment subjectivity,tweet ID
RT @rivalskeenan: Freshman point guard Jordan McCabe out here getting up shots for #WVU before practice. ,0.0,0.0,1067613867323330566
"RT : So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank…",0.0,0.0,1067611798688419841
"Again . Confirmation. 
#WVU ",0.0,0.0,1067611409096290310
"RT @snackaholicsUS: Gotta love a WVU win! 

Go Eers 

Every order tonight will receive one FREE M&amp;M Ice Cream Sandwich! 

",0.6666666666666666,0.6,1067611400850296833
Hey  you wanna go to the Alamo? #WVU #RoadDawgs ,0.0,0.0,1067610792357449728
"Penn state has 0 ranked wins all season, lost vs all top25 teams they’ve played (OSU, UM) but somehow is 4 spots ab… ",0.3,0.2,1067610742730444800
"RT : On #GivingTuesday around the globe,  reflects on the passion behind &amp; impact of the Norma Mae Huggins Cancer…",-0.4,0.7,1067609530664656896
"RT : Rumors are out there, but don’t believe them. Holgorsen will continue to build #WVU football ",0.0,0.0,1067609186568151040
"I’m addictive to this , 
How I Built This is an American podcast about ""innovators, entrepreneurs, idealists, and t… ",0.0,0.45,1067608860620398593
RT : Help us on #GivingTuesday with our fight against cancer. Please consider supporting  and the Norma Mae Huggins Ca…,0.25,0.25,1067608399368650752
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…",0.0,0.06666666666666667,1067608089757696000
RT : Help us on #GivingTuesday with our fight against cancer. Please consider supporting  and the Norma Mae Huggins Ca…,0.25,0.25,1067607884480040961
Over the first three games #WVU Senior Esa Ahmad had 15 turnovers. In the two games since that number has dipped to… ,0.25,0.3333333333333333,1067607643274076160
RT : Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't…,0.0,0.05,1067606957916389377
RT @rivalskeenan: Freshman point guard Jordan McCabe out here getting up shots for #WVU before practice. ,0.0,0.0,1067606741809065984
"Let me see if I have this right?  lost to a team ranked several spots higher, in a very close game, and… ",0.06714285714285714,0.34714285714285714,1067606664180830208
#WVU just became a trend setter! ,0.0,0.0,1067606168124698625
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…",0.0,0.06666666666666667,1067606007248011269
RT : Please consider making a donation to our chapters scholarship fund for #GivingTuresday - Our scholarship helps to send…,0.0,0.0,1067605913597591552
"Lastly, if there is no Big 12 team in the #CFBPlayoff, then the highest ranked Big 12 team will take Sugar Bowl spo… ",0.0,0.0888888888888889,1067605885114040320
"Hey #WVU, you can’t deny someone who wants to be a Mountaineer, right? ",0.24285714285714285,0.31785714285714284,1067605861395283971
"There is speculation about #WVU heading to the Sugar Bowl, but that can’t happen because the second-place finisher would get Sugar Bowl bid.",0.0,0.0,1067604677775233025
"@lyncofta My first take  is Thornton will be one of the best D players to come to #WVU . 
My instincts are usually pretty good .",0.55,0.5583333333333333,1067603961757208576
"RT : So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank…",0.0,0.0,1067602946068758528
"As it stands right now, the Valero Alamo Bowl would put the Mountaineers against Washington State because both team… ",0.2857142857142857,0.5357142857142857,1067602579880902656
"RT : Jalen Bridges, the #3 recruit of the 2020 class in WV, told me earlier this evening he recently went on a visit to Cincinn…",0.0,0.375,1067602465154105344
RT @rivalskeenan: Freshman point guard Jordan McCabe out here getting up shots for #WVU before practice. ,0.0,0.0,1067602228830191616
"What’s a truffle? 
#WVU 
I’m just a guy from 
#WestVirginia",0.0,0.0,1067601576418832384
So everyone needs to avoid stewartstown Hill. I slid into a guard rail 3 times in my SUV going 5 mph  #morgantown #WVU,0.0,0.0,1067601425704910848
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…",0.0,0.06666666666666667,1067600726678020098
"RT : My take on Will Grier and #WVU 
1. He should play in the bowl 
2. Dana agrees ( privately) to the following 
- Get him out aft…",0.0,0.2375,1067600426982432769
So we can end this nonsensical Facebook news ( from your friends ) that #WVU can play in the Sugar Bowl . ,0.0,0.0,1067600072056209413
RT : Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't…,0.0,0.05,1067599314430713856
"RT : On #GivingTuesday around the globe,  reflects on the passion behind &amp; impact of the Norma Mae Huggins Cancer…",-0.4,0.7,1067599052999745536
"RT : GREAT NEW EPISODE TOMORROW!

What’s John’s life like in Argentina? What did they think about the #WVU football game? How…",0.19015151515151515,0.5348484848484848,1067598997249040389
RT : #WVU falls three spots to No. 16 in the College Football Playoff rankings. ,0.0,0.0,1067598509506027521
"RT : #CFB Total QBR week 14

Kyler Murray #Sooners 96.1
Tua Tagovailoa #Bama 95.9
Jake Fromm #UGA 86.1
Dwayne Haskins #OhioSta…",0.0,0.75,1067598203590270976
"RT : So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank…",0.0,0.0,1067598120517861378
"RT : David Hardesty is a great West Virginian, was a great President of the University and is a role model for all who look at h…",0.8,0.75,1067597559500349442
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…",0.0,0.06666666666666667,1067597075272081408
"RT : I understand fans want to win, but why do I keep seeing “mediocrity” and comparisons to blue blood programs? 

There’s a r…",0.20000000000000004,0.23333333333333336,1067596390484910080
RT : Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't…,0.0,0.05,1067595785146118145
"I believe #WVU has made a good case for the Valero Alamo Bowl in San Antonio, Texas, which would be against number… ",0.7,0.6000000000000001,1067595161981644800
"RT : Jalen Bridges, the #3 recruit of the 2020 class in WV, told me earlier this evening he recently went on a visit to Cincinn…",0.0,0.375,1067594925280305152
RT : #WVUFootball shows up ranked 16th in this Week's College Football Top 25 Rankings. #WVU,0.5,0.5,1067594631251181569
"RT : So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank…",0.0,0.0,1067594481053171712
RT @bradhowe07: NEW EPISODE: The disappointment from Friday’s loss to Oklahoma will linger within Mountaineer Nation for a long time. We di…,-0.17121212121212123,0.41818181818181815,1067594041246781440
#WVU now No. 16 in new #CFBPlayoff rankings after loss to OU. ,0.13636363636363635,0.45454545454545453,1067594025560088576
RT : Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't…,0.0,0.05,1067593749562368000
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…",0.0,0.06666666666666667,1067593589230841856
"RT : .@WVUfootball is No. 16 in the #CFBPlayoff rankings. 

#WVU will learn its bowl fate next week. The result of the …",0.0,0.0,1067593496020832261
RT @rivalskeenan: #WVU DL commit Jalen Thornton. ,0.0,0.0,1067593132009811968
RT : Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't…,0.0,0.05,1067592829285863425
RT : Senior highlights of #WVU commit Winston Wright will definitely leave you impressed.... ,0.5,0.75,1067592696854917121
