Tweet ID,Username,Text,Number of Retweets,Number of Likes
1067613867323330566,makaylaweb14,b'RT @rivalskeenan: Freshman point guard Jordan McCabe out here getting up shots for #WVU before practice. https://t.co/Rac6BmSGji',13,0
1067611798688419841,maryjanewvu,"b'RT @GoldAndBlueZone: So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank\xe2\x80\xa6'",14,0
1067611409096290310,WVwings,b'Again . Confirmation. \n#WVU https://t.co/d6wdpvPOOU',0,0
1067611400850296833,snackaholicsUS,b'RT @snackaholicsUS: Gotta love a WVU win! \n\nGo Eers \xf0\x9f\x92\x9b\xf0\x9f\x92\x99\n\nEvery order tonight will receive one FREE M&amp;M Ice Cream Sandwich! \n\nhttps://t.co/wn\xe2\x80\xa6',1,0
1067610792357449728,jeff_ruff,b'Hey @adbake79 you wanna go to the Alamo? #WVU #RoadDawgs https://t.co/Hsi1W7YCCd',0,1
1067610742730444800,NickGollotto,"b'Penn state has 0 ranked wins all season, lost vs all top25 teams they\xe2\x80\x99ve played (OSU, UM) but somehow is 4 spots ab\xe2\x80\xa6 https://t.co/OOgE4D2oRS'",0,0
1067609530664656896,dalehd88,"b'RT @WVUFoundation: On #GivingTuesday around the globe, @CoachHuggs reflects on the passion behind &amp; impact of the Norma Mae Huggins Cancer\xe2\x80\xa6'",10,0
1067609186568151040,BleedWVU,"b'RT @DubVNation: Rumors are out there, but don\xe2\x80\x99t believe them. Holgorsen will continue to build #WVU football https://t.co/isJRlZEoRk'",13,0
1067608860620398593,WVwings,"b'I\xe2\x80\x99m addictive to this , \nHow I Built This is an American podcast about ""innovators, entrepreneurs, idealists, and t\xe2\x80\xa6 https://t.co/gun5r6fvCc'",0,0
1067608399368650752,eers_link,b'RT @WVUCancer: Help us on #GivingTuesday with our fight against cancer. Please consider supporting @CoachHuggs and the Norma Mae Huggins Ca\xe2\x80\xa6',1,0
1067608089757696000,ImJustJoshin_U,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067607884480040961,bmhanlon29,b'RT @WVUCancer: Help us on #GivingTuesday with our fight against cancer. Please consider supporting @CoachHuggs and the Norma Mae Huggins Ca\xe2\x80\xa6',1,0
1067607643274076160,rivalskeenan,b'Over the first three games #WVU Senior Esa Ahmad had 15 turnovers. In the two games since that number has dipped to\xe2\x80\xa6 https://t.co/SiL79DxyWr',0,3
1067606957916389377,MitchWVU18,"b""RT @GAllanTaylor: Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't\xe2\x80\xa6""",8,0
1067606741809065984,WVU4LIFE26003,b'RT @rivalskeenan: Freshman point guard Jordan McCabe out here getting up shots for #WVU before practice. https://t.co/Rac6BmSGji',13,0
1067606664180830208,MackenzieMincey,"b'Let me see if I have this right? @WVUfootball lost to a team ranked several spots higher, in a very close game, and\xe2\x80\xa6 https://t.co/bAhKCFob79'",0,0
1067606168124698625,eerfan510,b'#WVU just became a trend setter! https://t.co/PQK7KSt2Jb',0,1
1067606007248011269,kristak530,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067605913597591552,LowCountryEers,b'RT @LowCountryEers: Please consider making a donation to our chapters scholarship fund for #GivingTuresday - Our scholarship helps to send\xe2\x80\xa6',2,0
1067605885114040320,TyB_WV,"b'Lastly, if there is no Big 12 team in the #CFBPlayoff, then the highest ranked Big 12 team will take Sugar Bowl spo\xe2\x80\xa6 https://t.co/3UISohJ6y5'",0,0
1067605861395283971,Kervie,"b'Hey #WVU, you can\xe2\x80\x99t deny someone who wants to be a Mountaineer, right? https://t.co/wTCEKyZhqm'",0,0
1067604677775233025,TyB_WV,"b'There is speculation about #WVU heading to the Sugar Bowl, but that can\xe2\x80\x99t happen because the second-place finisher would get Sugar Bowl bid.'",0,0
1067603961757208576,WVwings,b'@lyncofta My first take  is Thornton will be one of the best D players to come to #WVU . \nMy instincts are usually pretty good .',0,0
1067602946068758528,kcdrummond,"b'RT @GoldAndBlueZone: So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank\xe2\x80\xa6'",14,0
1067602579880902656,TyB_WV,"b'As it stands right now, the Valero Alamo Bowl would put the Mountaineers against Washington State because both team\xe2\x80\xa6 https://t.co/Q6S9EzNbTA'",0,0
1067602465154105344,lazyb81,"b'RT @RDeckerWboy: Jalen Bridges, the #3 recruit of the 2020 class in WV, told me earlier this evening he recently went on a visit to Cincinn\xe2\x80\xa6'",17,0
1067602228830191616,lazyb81,b'RT @rivalskeenan: Freshman point guard Jordan McCabe out here getting up shots for #WVU before practice. https://t.co/Rac6BmSGji',13,0
1067601576418832384,WVwings,b'What\xe2\x80\x99s a truffle? \n#WVU \nI\xe2\x80\x99m just a guy from \n#WestVirginia',0,0
1067601425704910848,AlyssaMV13,b'So everyone needs to avoid stewartstown Hill. I slid into a guard rail 3 times in my SUV going 5 mph \xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84 #morgantown #WVU',0,0
1067600726678020098,Mountaineer_88,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067600426982432769,lazyb81,b'RT @WVwings: My take on Will Grier and #WVU \n1. He should play in the bowl \n2. Dana agrees ( privately) to the following \n- Get him out aft\xe2\x80\xa6',1,0
1067600072056209413,WVwings,b'So we can end this nonsensical Facebook news ( from your friends ) that #WVU can play in the Sugar Bowl . https://t.co/ceNQuB9G8h',0,0
1067599314430713856,SeanManning_DP,"b""RT @GAllanTaylor: Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't\xe2\x80\xa6""",8,0
1067599052999745536,lazyb81,"b'RT @WVUFoundation: On #GivingTuesday around the globe, @CoachHuggs reflects on the passion behind &amp; impact of the Norma Mae Huggins Cancer\xe2\x80\xa6'",10,0
1067598997249040389,Wvu2000aca,b'RT @FinalFourCast: GREAT NEW EPISODE TOMORROW!\n\nWhat\xe2\x80\x99s John\xe2\x80\x99s life like in Argentina? What did they think about the #WVU football game? How\xe2\x80\xa6',2,0
1067598509506027521,paulafannin,b'RT @WVSportsDotCom: #WVU falls three spots to No. 16 in the College Football Playoff rankings. https://t.co/flqMEtd2Y5',1,0
1067598203590270976,plusultra56,b'RT @HamiltonESPN: #CFB Total QBR week 14\n\nKyler Murray #Sooners 96.1\nTua Tagovailoa #Bama 95.9\nJake Fromm #UGA 86.1\nDwayne Haskins #OhioSta\xe2\x80\xa6',19,0
1067598120517861378,tmatherly16,"b'RT @GoldAndBlueZone: So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank\xe2\x80\xa6'",14,0
1067597559500349442,cbpcl,"b'RT @Torensborg: David Hardesty is a great West Virginian, was a great President of the University and is a role model for all who look at h\xe2\x80\xa6'",4,0
1067597075272081408,wvewe1,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067596390484910080,johnhanson20,"b'RT @DVNCallihan: I understand fans want to win, but why do I keep seeing \xe2\x80\x9cmediocrity\xe2\x80\x9d and comparisons to blue blood programs? \n\nThere\xe2\x80\x99s a r\xe2\x80\xa6'",6,0
1067595785146118145,ClintBennett90,"b""RT @GAllanTaylor: Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't\xe2\x80\xa6""",8,0
1067595161981644800,TyB_WV,"b'I believe #WVU has made a good case for the Valero Alamo Bowl in San Antonio, Texas, which would be against number\xe2\x80\xa6 https://t.co/qeSBgYuspQ'",0,0
1067594925280305152,xX_OUTLAW_Xx,"b'RT @RDeckerWboy: Jalen Bridges, the #3 recruit of the 2020 class in WV, told me earlier this evening he recently went on a visit to Cincinn\xe2\x80\xa6'",17,0
1067594631251181569,CrewsControlWV,"b""RT @AHAthleticsWV: #WVUFootball shows up ranked 16th in this Week's College Football Top 25 Rankings. #WVU""",1,0
1067594481053171712,MaharMatt21,"b'RT @GoldAndBlueZone: So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank\xe2\x80\xa6'",14,0
1067594041246781440,bradhowe07,b'RT @bradhowe07: NEW EPISODE: The disappointment from Friday\xe2\x80\x99s loss to Oklahoma will linger within Mountaineer Nation for a long time. We di\xe2\x80\xa6',8,0
1067594025560088576,TyB_WV,b'#WVU now No. 16 in new #CFBPlayoff rankings after loss to OU. https://t.co/hw9NihHp5m',0,0
1067593749562368000,MitchVingle,"b""RT @GAllanTaylor: Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't\xe2\x80\xa6""",8,0
1067593589230841856,fail2pitt,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067593496020832261,lazyb81,b'RT @ByNickFarrell: .@WVUfootball is No. 16 in the #CFBPlayoff rankings. \n\n#WVU will learn its bowl fate next week. The result of the @Big12\xe2\x80\xa6',3,0
1067593132009811968,lazyb81,b'RT @rivalskeenan: #WVU DL commit Jalen Thornton. https://t.co/mlc2dPUB64',3,0
